156,我是山姆,9.0,导演: 杰茜·尼尔森 Jessie Nelson,2001,346526人评价,爱并不需要智商 。
157,阳光姐妹淘,8.8,导演: 姜炯哲 Hyeong-Cheol Kang,2011,599731人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
158,七武士,9.3,导演: 黑泽明 Akira Kurosawa,1954,204227人评价,时代悲歌。
159,血战钢锯岭,8.7,导演: 梅尔·吉布森 Mel Gibson,2016,798315人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
160,恐怖直播,8.7,导演: 金秉祐 Byeong-woo Kim,2013,668727人评价,恐怖分子的“秋菊打官司”。
161,惊魂记,9.0,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,307052人评价,故事的反转与反转，分裂电影的始祖。
162,黑客帝国3：矩阵革命,8.8,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,457150人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
163,你的名字。,8.5,导演: 新海诚 Makoto Shinkai,2016,1441983人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
164,三块广告牌,8.7,导演: 马丁·麦克唐纳 Martin McDonagh,2017,841303人评价,怼天怼地，你走后，她与世界为敌。
165,电锯惊魂,8.7,导演: 詹姆斯·温 James Wan,2004,550806人评价,真相就在眼前。
166,达拉斯买家俱乐部,8.8,导演: 让-马克·瓦雷 Jean-Marc Vallée,2013,463241人评价,Jared Leto的腿比女人还美！
167,心迷宫,8.7,导演: 忻钰坤 Yukun Xin,2014,540456人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
168,疯狂原始人,8.7,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,856832人评价,老少皆宜，这就是好莱坞动画的魅力。
169,谍影重重3,8.8,导演: 保罗·格林格拉斯 Paul Greengrass,2007,428963人评价,像吃了苏打饼一样干脆的电影。
170,英雄本色,8.6,导演: 吴宇森 John Woo,1986,555043人评价,英雄泪短，兄弟情长。 
